Graph 1 vertice count 	 Graph 2 vertice count 	 approximate density 	exact v vertCount 	 exact v edgeCount 	 Exact v time 	exact v+e vertCount 	 exact v + e edgecount 	 Exact v + e time 	apprClique v vertCount 	 apprClique v edgeCount 	 apprClique v time 	apprClique v + e vertCount 	 apprClique v + e edgeCount 	 apprClique v + e time 	appr v vertCount 	 appr v edgeCount 	 appr v time 	appr v + e vertCount 	 appr v + e edgeCount 	 appr v + e time 	
10	10	0.5	7	11	0.733333333333333	7	12	4.63333333333333	6	10	0.333333333333333	6	11	0.0333333333333333	6	8	0.833333333333333	4	5	0.366666666666667	
11	11	0.5	7	13	0.966666666666667	7	14	10.2666666666667	7	12	0	7	12	0	6	10	1.13333333333333	5	6	0.966666666666667	
12	12	0.5	7	14	2.33333333333333	7	16	24.5333333333333	7	12	0.133333333333333	7	13	0.9	6	9	1.96666666666667	5	6	1.53333333333333	
13	13	0.5	8	16	6.3	8	18	55.0333333333333	7	14	1.16666666666667	7	14	1.1	6	10	2.93333333333333	5	7	2.46666666666667	
14	14	0.5	9	18	13.9666666666667	9	20	119.933333333333	8	15	1.13333333333333	8	15	1.36666666666667	7	11	4.36666666666667	6	7	3.83333333333333	
15	15	0.5	9	20	30.5666666666667	9	22	242.5	8	17	2.1	8	17	2	7	14	6.2	5	8	5.16666666666667	
16	16	0.5	10	22	51.6	9	25	496.466666666667	9	18	2.33333333333333	8	19	3.23333333333333	7	13	8.63333333333333	6	9	7.03333333333333	
17	17	0.5	10	23	123.433333333333	10	27	936.033333333333	9	19	3.03333333333333	9	21	3.93333333333333	8	16	11	6	9	9.43333333333333	
18	18	0.5	10	25	254.566666666667	10	28	1873.23333333333	9	19	4.03333333333333	9	22	5	8	14	14	6	9	12	
19	19	0.5	10	26	484.666666666667	10	30	3711.46666666667	9	22	5.03333333333333	9	23	6.1	8	16	17.9666666666667	6	9	15.3	
20	20	0.5	11	28	925.1	11	32	7111.9	10	23	6.1	9	23	7.36666666666667	8	18	22.9666666666667	6	10	19.6	
21	21	0.5	11	29	2111.3	11	34	13057.5333333333	10	24	8.73333333333333	10	25	9.33333333333333	9	18	29.8666666666667	7	10	25.6666666666667	
22	22	0.5	11	32	3250.93333333333	0	0	0	10	24	9	10	26	11.1333333333333	9	19	34.8	6	11	30.3333333333333	
23	23	0.5	12	33	5996.13333333333	0	0	0	10	24	10.8333333333333	10	26	13.2666666666667	9	20	42.2	7	12	37.0333333333333	
24	24	0.5	12	33	12223	0	0	0	10	26	13	10	28	16	9	21	51.2666666666667	7	11	44.9333333333333	
25	25	0.5	12	35	24892.6333333333	0	0	0	10	26	15.3333333333333	10	29	18.8333333333333	9	20	64.7	7	12	57.0666666666667	
26	26	0.5	12	36	41084.8666666667	0	0	0	11	27	18.3333333333333	10	30	22.7	9	21	78.4333333333333	7	12	69.9666666666667	
27	27	0.5	13	39	66896.0666666667	0	0	0	11	29	21.1	11	32	25.6666666666667	9	22	93.2	7	13	81.9	
28	28	0.5	13	38	126061.633333333	0	0	0	11	31	24.5666666666667	11	33	30.0333333333333	9	22	113.266666666667	7	12	101.7	
29	29	0.5	0	0	0	0	0	0	11	31	29.3333333333333	11	34	36.2333333333333	10	23	139.5	8	13	124.733333333333	
30	30	0.5	0	0	0	0	0	0	12	33	32.8666666666667	11	35	40.6	10	26	157.733333333333	7	13	138.9	
31	31	0.5	0	0	0	0	0	0	12	35	36.4666666666667	11	37	45.3333333333333	10	26	185.6	0	0	0	
32	32	0.5	0	0	0	0	0	0	12	34	42.2666666666667	11	37	51.4333333333333	10	26	211.1	0	0	0	
33	33	0.5	0	0	0	0	0	0	12	33	47.0333333333333	12	38	58.0333333333333	10	27	241.633333333333	0	0	0	
34	34	0.5	0	0	0	0	0	0	12	34	53.2666666666667	12	38	66.0333333333333	10	27	283.633333333333	0	0	0	
35	35	0.5	0	0	0	0	0	0	12	34	59.2666666666667	12	39	73.9666666666667	10	27	317.833333333333	0	0	0	
36	36	0.5	0	0	0	0	0	0	12	37	67.1	12	40	82.3333333333333	11	29	370.8	0	0	0	
37	37	0.5	0	0	0	0	0	0	12	38	74.5333333333333	12	41	92.2333333333333	11	26	412.066666666667	0	0	0	
38	38	0.5	0	0	0	0	0	0	12	38	82.8	12	42	102.933333333333	11	28	479.566666666667	0	0	0	
39	39	0.5	0	0	0	0	0	0	13	40	91.2666666666667	12	41	113.5	11	31	539.366666666667	0	0	0	
40	40	0.5	0	0	0	0	0	0	13	40	100.2	12	45	127.733333333333	11	29	611.733333333333	0	0	0	
41	41	0.5	0	0	0	0	0	0	13	39	110.1	12	45	137.833333333333	11	30	686.166666666667	0	0	0	
42	42	0.5	0	0	0	0	0	0	13	39	121.1	13	44	152.566666666667	11	30	758.666666666667	0	0	0	
43	43	0.5	0	0	0	0	0	0	13	41	131.233333333333	13	46	168.933333333333	11	33	870.7	0	0	0	
44	44	0.5	0	0	0	0	0	0	13	43	147.933333333333	13	47	185.633333333333	11	32	975.733333333333	0	0	0	
45	45	0.5	0	0	0	0	0	0	13	40	163.6	13	46	204.9	12	32	1096.43333333333	0	0	0	
46	46	0.5	0	0	0	0	0	0	13	42	180.066666666667	13	47	227.133333333333	11	30	1237.46666666667	0	0	0	
47	47	0.5	0	0	0	0	0	0	13	42	191.166666666667	13	48	244.066666666667	12	35	1360.5	0	0	0	
48	48	0.5	0	0	0	0	0	0	13	43	211.966666666667	13	48	274.166666666667	11	32	1493.6	0	0	0	
49	49	0.5	0	0	0	0	0	0	13	41	225.033333333333	13	50	289.366666666667	12	34	1602.66666666667	0	0	0	
50	50	0.5	0	0	0	0	0	0	13	45	249.4	13	49	314.433333333333	12	34	1788.66666666667	0	0	0	
51	51	0.5	0	0	0	0	0	0	14	45	265.033333333333	13	51	346.766666666667	0	0	0	0	0	0	
52	52	0.5	0	0	0	0	0	0	14	46	293.166666666667	13	53	369.466666666667	0	0	0	0	0	0	
53	53	0.5	0	0	0	0	0	0	14	47	304.866666666667	13	52	395	0	0	0	0	0	0	
54	54	0.5	0	0	0	0	0	0	14	49	330.766666666667	14	53	423.2	0	0	0	0	0	0	
55	55	0.5	0	0	0	0	0	0	14	47	358.4	14	55	467.966666666667	0	0	0	0	0	0	
56	56	0.5	0	0	0	0	0	0	14	45	388	14	55	508.566666666667	0	0	0	0	0	0	
57	57	0.5	0	0	0	0	0	0	14	49	413.633333333333	14	55	531.066666666667	0	0	0	0	0	0	
58	58	0.5	0	0	0	0	0	0	14	49	458.566666666667	14	55	571.733333333333	0	0	0	0	0	0	
59	59	0.5	0	0	0	0	0	0	14	51	467.366666666667	14	57	603.266666666667	0	0	0	0	0	0	
60	60	0.5	0	0	0	0	0	0	14	50	511.166666666667	14	59	651.7	0	0	0	0	0	0	
61	61	0.5	0	0	0	0	0	0	14	49	533.466666666667	14	58	696.166666666667	0	0	0	0	0	0	
62	62	0.5	0	0	0	0	0	0	14	53	568.5	14	58	726.8	0	0	0	0	0	0	
63	63	0.5	0	0	0	0	0	0	14	52	601.3	14	58	781.266666666667	0	0	0	0	0	0	
64	64	0.5	0	0	0	0	0	0	14	52	649.133333333333	14	59	850.666666666667	0	0	0	0	0	0	
65	65	0.5	0	0	0	0	0	0	14	49	682.133333333333	14	60	884.333333333333	0	0	0	0	0	0	
66	66	0.5	0	0	0	0	0	0	15	55	738.366666666667	14	62	937.266666666667	0	0	0	0	0	0	
67	67	0.5	0	0	0	0	0	0	15	51	770.566666666667	14	62	1001.76666666667	0	0	0	0	0	0	
68	68	0.5	0	0	0	0	0	0	15	52	873.7	14	61	1109.43333333333	0	0	0	0	0	0	
69	69	0.5	0	0	0	0	0	0	15	52	868.466666666667	14	62	1122.1	0	0	0	0	0	0	
70	70	0.5	0	0	0	0	0	0	15	53	910.333333333333	14	61	1166.13333333333	0	0	0	0	0	0	
71	71	0.5	0	0	0	0	0	0	15	51	951.433333333333	14	62	1243.63333333333	0	0	0	0	0	0	
72	72	0.5	0	0	0	0	0	0	15	55	1017.3	15	64	1347.2	0	0	0	0	0	0	
73	73	0.5	0	0	0	0	0	0	15	53	1062.1	15	64	1386.83333333333	0	0	0	0	0	0	
74	74	0.5	0	0	0	0	0	0	15	54	1155.36666666667	15	65	1484.16666666667	0	0	0	0	0	0	
75	75	0.5	0	0	0	0	0	0	15	55	1194	15	65	1561.13333333333	0	0	0	0	0	0	
76	76	0.5	0	0	0	0	0	0	15	56	1264.33333333333	15	64	1615.23333333333	0	0	0	0	0	0	
77	77	0.5	0	0	0	0	0	0	15	55	1316.96666666667	15	65	1730.96666666667	0	0	0	0	0	0	
78	78	0.5	0	0	0	0	0	0	15	55	1428.76666666667	15	65	1829.73333333333	0	0	0	0	0	0	
79	79	0.5	0	0	0	0	0	0	15	58	1483.3	15	65	1940.5	0	0	0	0	0	0	
80	80	0.5	0	0	0	0	0	0	15	60	1583.53333333333	15	66	2094.7	0	0	0	0	0	0	
81	81	0.5	0	0	0	0	0	0	15	59	1637.16666666667	15	66	2140.33333333333	0	0	0	0	0	0	
82	82	0.5	0	0	0	0	0	0	15	57	1738.03333333333	15	68	2227.16666666667	0	0	0	0	0	0	
83	83	0.5	0	0	0	0	0	0	15	59	1798.06666666667	15	69	2355.3	0	0	0	0	0	0	
84	84	0.5	0	0	0	0	0	0	15	57	1911.23333333333	15	69	2447.7	0	0	0	0	0	0	
85	85	0.5	0	0	0	0	0	0	15	58	1980.06666666667	15	68	2589.36666666667	0	0	0	0	0	0	
86	86	0.5	0	0	0	0	0	0	15	57	2098.03333333333	15	72	2711.53333333333	0	0	0	0	0	0	
